"UNIQUE_SAMPLE_ID","sample_index","CUVETTE","title","result","unit_of_result","data_markings_of_result","creation_time","DATE","TIME","method_name","t1","nominal_value","t1_2","is_excluded","method_type","determination_type","overall_result_state","sample","tissue_type","species","replicate","temperature","TIME_DIFF","TIME_DIFF_SECS","MINUTES","LATIN_NAME"
"Paus_04_10_5","5","5","Absorbance wavelength 1",-0.01845,"A",NA,2023-10-24 09:38:43,"2023-10-24",09:38:43,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:01:20,80,1.33,"Pomacentrus australis"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.03291,"A",NA,2023-10-24 09:38:50,"2023-10-24",09:38:50,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:01:22,82,1.37,"Pomacentrus australis"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.04352,"A",NA,2023-10-24 09:38:57,"2023-10-24",09:38:57,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:02,122,2.03,"Pomacentrus australis"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.05543,"A",NA,2023-10-24 09:39:04,"2023-10-24",09:39:04,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:02,122,2.03,"Pomacentrus australis"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.11028,"A",NA,2023-10-24 09:39:11,"2023-10-24",09:39:11,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:02,122,2.03,"Pomacentrus australis"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.048,"A",NA,2023-10-24 09:39:17,"2023-10-24",09:39:17,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:01,121,2.02,"Pomacentrus australis"
"Paus_04_10_5","5","5","Absorbance wavelength 1",-0.01721,"A",NA,2023-10-24 09:39:23,"2023-10-24",09:39:23,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:00,120,2,"Pomacentrus australis"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.0302,"A",NA,2023-10-24 09:39:28,"2023-10-24",09:39:28,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:00,120,2,"Pomacentrus australis"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.03143,"A",NA,2023-10-24 09:39:35,"2023-10-24",09:39:35,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:40,160,2.67,"Pomacentrus australis"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.03941,"A",NA,2023-10-24 09:39:40,"2023-10-24",09:39:40,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:38,158,2.63,"Pomacentrus australis"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.02068,"A",NA,2023-10-24 09:39:47,"2023-10-24",09:39:47,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:38,158,2.63,"Pomacentrus australis"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.05255,"A",NA,2023-10-24 09:39:54,"2023-10-24",09:39:54,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:38,158,2.63,"Pomacentrus australis"
"Paus_04_10_5","5","5","Absorbance wavelength 1",-0.00576,"A",NA,2023-10-24 09:40:00,"2023-10-24",09:40:00,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:37,157,2.62,"Pomacentrus australis"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.03169,"A",NA,2023-10-24 09:40:07,"2023-10-24",09:40:07,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:02:39,159,2.65,"Pomacentrus australis"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.07651,"A",NA,2023-10-24 09:40:13,"2023-10-24",09:40:13,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:18,198,3.3,"Pomacentrus australis"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.04796,"A",NA,2023-10-24 09:40:20,"2023-10-24",09:40:20,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:18,198,3.3,"Pomacentrus australis"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.01745,"A",NA,2023-10-24 09:40:27,"2023-10-24",09:40:27,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:18,198,3.3,"Pomacentrus australis"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.05913,"A",NA,2023-10-24 09:40:34,"2023-10-24",09:40:34,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:18,198,3.3,"Pomacentrus australis"
"Paus_04_10_5","5","5","Absorbance wavelength 1",0.00923,"A",NA,2023-10-24 09:40:41,"2023-10-24",09:40:41,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:18,198,3.3,"Pomacentrus australis"
"Adoed_02_10_1","1","1","Absorbance wavelength 1",0.14233,"A",NA,2023-07-09 09:40:48,"2023-07-09",09:40:48,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:00:41,41,0.68,"Apogon doederlein"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.03207,"A",NA,2023-10-24 09:40:48,"2023-10-24",09:40:48,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:20,200,3.33,"Pomacentrus australis"
"Adoed_02_10_2","2","2","Absorbance wavelength 1",0.20381,"A",NA,2023-07-09 09:40:53,"2023-07-09",09:40:53,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:00:40,40,0.67,"Apogon doederlein"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.05458,"A",NA,2023-10-24 09:40:55,"2023-10-24",09:40:55,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:04:00,240,4,"Pomacentrus australis"
"Adoed_02_10_3","3","3","Absorbance wavelength 1",0.12387,"A",NA,2023-07-09 09:40:59,"2023-07-09",09:40:59,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:00:39,39,0.65,"Apogon doederlein"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.07825,"A",NA,2023-10-24 09:41:00,"2023-10-24",09:41:00,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:58,238,3.97,"Pomacentrus australis"
"Adoed_02_10_4","4","4","Absorbance wavelength 1",0.12971,"A",NA,2023-07-09 09:41:05,"2023-07-09",09:41:05,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:00:38,38,0.63,"Apogon doederlein"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.02508,"A",NA,2023-10-24 09:41:06,"2023-10-24",09:41:06,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:57,237,3.95,"Pomacentrus australis"
"Adoed_02_10_5","5","5","Absorbance wavelength 1",0.0283,"A",NA,2023-07-09 09:41:12,"2023-07-09",09:41:12,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:00:38,38,0.63,"Apogon doederlein"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.06179,"A",NA,2023-10-24 09:41:13,"2023-10-24",09:41:13,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:57,237,3.95,"Pomacentrus australis"
"Adoed_02_10_6","6","6","Absorbance wavelength 1",0.03595,"A",NA,2023-07-09 09:41:19,"2023-07-09",09:41:19,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:00:38,38,0.63,"Apogon doederlein"
"Paus_04_10_5","5","5","Absorbance wavelength 1",-0.01606,"A",NA,2023-10-24 09:41:20,"2023-10-24",09:41:20,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:57,237,3.95,"Pomacentrus australis"
"Adoed_02_10_1","1","1","Absorbance wavelength 1",0.10703,"A",NA,2023-07-09 09:41:27,"2023-07-09",09:41:27,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:20,80,1.33,"Apogon doederlein"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.0316,"A",NA,2023-10-24 09:41:27,"2023-10-24",09:41:27,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:03:59,239,3.98,"Pomacentrus australis"
"Adoed_02_10_2","2","2","Absorbance wavelength 1",0.18338,"A",NA,2023-07-09 09:41:33,"2023-07-09",09:41:33,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:20,80,1.33,"Apogon doederlein"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.05797,"A",NA,2023-10-24 09:41:34,"2023-10-24",09:41:34,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:04:39,279,4.65,"Pomacentrus australis"
"Adoed_02_10_3","3","3","Absorbance wavelength 1",0.23012,"A",NA,2023-07-09 09:41:39,"2023-07-09",09:41:39,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:19,79,1.32,"Apogon doederlein"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.06011,"A",NA,2023-10-24 09:41:41,"2023-10-24",09:41:41,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:04:39,279,4.65,"Pomacentrus australis"
"Adoed_02_10_4","4","4","Absorbance wavelength 1",0.13439,"A",NA,2023-07-09 09:41:46,"2023-07-09",09:41:46,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:19,79,1.32,"Apogon doederlein"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.02752,"A",NA,2023-10-24 09:41:48,"2023-10-24",09:41:48,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:04:39,279,4.65,"Pomacentrus australis"
"Adoed_02_10_5","5","5","Absorbance wavelength 1",0.03338,"A",NA,2023-07-09 09:41:53,"2023-07-09",09:41:53,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:19,79,1.32,"Apogon doederlein"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.05984,"A",NA,2023-10-24 09:41:55,"2023-10-24",09:41:55,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:04:39,279,4.65,"Pomacentrus australis"
"Adoed_02_10_6","6","6","Absorbance wavelength 1",0.03703,"A",NA,2023-07-09 09:41:58,"2023-07-09",09:41:58,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:17,77,1.28,"Apogon doederlein"
"Paus_04_10_5","5","5","Absorbance wavelength 1",-0.02159,"A",NA,2023-10-24 09:42:02,"2023-10-24",09:42:02,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:04:39,279,4.65,"Pomacentrus australis"
"Adoed_02_10_1","1","1","Absorbance wavelength 1",0.14413,"A",NA,2023-07-09 09:42:05,"2023-07-09",09:42:05,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:58,118,1.97,"Apogon doederlein"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.03188,"A",NA,2023-10-24 09:42:09,"2023-10-24",09:42:09,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:04:41,281,4.68,"Pomacentrus australis"
"Adoed_02_10_2","2","2","Absorbance wavelength 1",0.19354,"A",NA,2023-07-09 09:42:12,"2023-07-09",09:42:12,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:59,119,1.98,"Apogon doederlein"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.05531,"A",NA,2023-10-24 09:42:16,"2023-10-24",09:42:16,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:05:21,321,5.35,"Pomacentrus australis"
"Adoed_02_10_3","3","3","Absorbance wavelength 1",0.15093,"A",NA,2023-07-09 09:42:18,"2023-07-09",09:42:18,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:58,118,1.97,"Apogon doederlein"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.10372,"A",NA,2023-10-24 09:42:23,"2023-10-24",09:42:23,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:05:21,321,5.35,"Pomacentrus australis"
"Adoed_02_10_4","4","4","Absorbance wavelength 1",0.15718,"A",NA,2023-07-09 09:42:24,"2023-07-09",09:42:24,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:57,117,1.95,"Apogon doederlein"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.02302,"A",NA,2023-10-24 09:42:30,"2023-10-24",09:42:30,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:05:21,321,5.35,"Pomacentrus australis"
"Adoed_02_10_5","5","5","Absorbance wavelength 1",0.03514,"A",NA,2023-07-09 09:42:31,"2023-07-09",09:42:31,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:57,117,1.95,"Apogon doederlein"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.06065,"A",NA,2023-10-24 09:42:37,"2023-10-24",09:42:37,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:05:21,321,5.35,"Pomacentrus australis"
"Adoed_02_10_6","6","6","Absorbance wavelength 1",0.03831,"A",NA,2023-07-09 09:42:38,"2023-07-09",09:42:38,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:01:57,117,1.95,"Apogon doederlein"
"Paus_04_10_5","5","5","Absorbance wavelength 1",-0.02212,"A",NA,2023-10-24 09:42:43,"2023-10-24",09:42:43,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:05:20,320,5.33,"Pomacentrus australis"
"Adoed_02_10_1","1","1","Absorbance wavelength 1",0.1365,"A",NA,2023-07-09 09:42:46,"2023-07-09",09:42:46,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:02:39,159,2.65,"Apogon doederlein"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.03105,"A",NA,2023-10-24 09:42:49,"2023-10-24",09:42:49,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:05:21,321,5.35,"Pomacentrus australis"
"Adoed_02_10_2","2","2","Absorbance wavelength 1",0.16786,"A",NA,2023-07-09 09:42:53,"2023-07-09",09:42:53,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:02:40,160,2.67,"Apogon doederlein"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.06615,"A",NA,2023-10-24 09:42:57,"2023-10-24",09:42:57,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:06:02,362,6.03,"Pomacentrus australis"
"Adoed_02_10_3","3","3","Absorbance wavelength 1",0.15654,"A",NA,2023-07-09 09:42:59,"2023-07-09",09:42:59,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:02:39,159,2.65,"Apogon doederlein"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.09768,"A",NA,2023-10-24 09:43:02,"2023-10-24",09:43:02,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:06:00,360,6,"Pomacentrus australis"
"Adoed_02_10_4","4","4","Absorbance wavelength 1",0.17564,"A",NA,2023-07-09 09:43:06,"2023-07-09",09:43:06,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:02:39,159,2.65,"Apogon doederlein"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.03426,"A",NA,2023-10-24 09:43:09,"2023-10-24",09:43:09,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:06:00,360,6,"Pomacentrus australis"
"Adoed_02_10_5","5","5","Absorbance wavelength 1",0.04006,"A",NA,2023-07-09 09:43:13,"2023-07-09",09:43:13,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:02:39,159,2.65,"Apogon doederlein"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.06036,"A",NA,2023-10-24 09:43:16,"2023-10-24",09:43:16,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:06:00,360,6,"Pomacentrus australis"
"Adoed_02_10_6","6","6","Absorbance wavelength 1",0.04022,"A",NA,2023-07-09 09:43:20,"2023-07-09",09:43:20,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:02:39,159,2.65,"Apogon doederlein"
"Paus_04_10_5","5","5","Absorbance wavelength 1",-0.00225,"A",NA,2023-10-24 09:43:23,"2023-10-24",09:43:23,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:06:00,360,6,"Pomacentrus australis"
"Adoed_02_10_1","1","1","Absorbance wavelength 1",0.1292,"A",NA,2023-07-09 09:43:28,"2023-07-09",09:43:28,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:03:21,201,3.35,"Apogon doederlein"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.03296,"A",NA,2023-10-24 09:43:30,"2023-10-24",09:43:30,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:06:02,362,6.03,"Pomacentrus australis"
"Adoed_02_10_2","2","2","Absorbance wavelength 1",0.14914,"A",NA,2023-07-09 09:43:33,"2023-07-09",09:43:33,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Adoed_02_10","WM","Adoed","02","10",00:03:20,200,3.33,"Apogon doederlein"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.03587,"A",NA,2023-10-24 09:43:37,"2023-10-24",09:43:37,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:06:42,402,6.7,"Pomacentrus australis"
